,bathrooms,bedrooms,hometype,latitude,longitude,price,lotAreaValue
0,7,7.0,SINGLE_FAMILY,43.685574,-79.44869,1849000,2506.2539
1,1,1.0,CONDO,43.618538,-79.4851,585000,
2,1,2.0,CONDO,43.630337,-79.47273,794500,
3,3,3.0,SINGLE_FAMILY,43.644554,-79.421234,3799000,2343.75
4,2,3.0,CONDO,43.72208,-79.543945,489999,
5,11,17.0,MULTI_FAMILY,43.671116,-79.298,9190000,9375.0
6,3,7.0,MULTI_FAMILY,43.68964,-79.4975,1300000,2430.0
7,2,2.0,CONDO,43.641354,-79.562775,920000,
8,3,3.0,CONDO,43.689766,-79.40217,2480000,
9,5,4.0,SINGLE_FAMILY,43.819138,-79.31484,1799000,3443.8866
10,2,2.0,CONDO,43.79573,-79.31573,449900,
11,2,2.0,CONDO,43.641354,-79.562775,869000,
12,1,1.0,CONDO,43.641243,-79.414406,625000,
13,2,3.0,SINGLE_FAMILY,43.80548,-79.35377,1258800,3621.792
14,3,2.0,CONDO,43.630337,-79.47273,1998000,
15,2,2.0,CONDO,43.785908,-79.289856,659900,
16,2,2.0,CONDO,43.733253,-79.446014,619000,
17,1,2.0,CONDO,43.78688,-79.41689,628800,
18,2,3.0,CONDO,43.740665,-79.23514,479800,
19,1,1.0,CONDO,43.64608,-79.391235,886500,
20,1,2.0,CONDO,43.661762,-79.38363,829000,
21,1,2.0,CONDO,43.760143,-79.408875,759900,
22,1,2.0,CONDO,43.7525,-79.33254,600000,
23,2,2.0,CONDO,43.772797,-79.34539,699000,
24,1,2.0,CONDO,43.655772999999996,-79.37599,899000,
25,2,4.0,TOWNHOUSE,43.72894,-79.345505,995000,
26,1,2.0,CONDO,43.65698,-79.355415,599000,
27,1,2.0,CONDO,43.725807,-79.480606,449000,
28,1,2.0,CONDO,43.64684,-79.39027,749900,
29,1,2.0,CONDO,43.733913,-79.44845,589000,
30,4,4.0,SINGLE_FAMILY,43.830193,-79.27705,999000,3600.948
31,3,4.0,SINGLE_FAMILY,43.82384,-79.26657,998800,2734.6
32,3,3.0,CONDO,43.685173,-79.51599,879000,
33,2,6.0,SINGLE_FAMILY,43.69906,-79.44359,1249000,2750.0
34,2,4.0,SINGLE_FAMILY,43.669987,-79.58003,1048800,6750.0
35,1,2.0,CONDO,43.785404,-79.41623,898888,
36,7,8.0,SINGLE_FAMILY,43.75427,-79.45246,2999900,10221.1105
37,1,1.0,CONDO,43.670265,-79.394356,575000,
38,1,2.0,CONDO,43.731857,-79.57696,469000,
39,1,1.0,CONDO,43.767647,-79.382126,529000,
40,1,1.0,CONDO,43.736553,-79.483246,539000,
41,2,2.0,CONDO,43.748337,-79.56748,519900,
42,3,3.0,TOWNHOUSE,43.736107,-79.47886,849999,
43,2,2.0,CONDO,43.635864,-79.46739,759000,
44,2,4.0,TOWNHOUSE,43.725285,-79.47877,699900,
45,1,1.0,CONDO,43.768177,-79.41177,599000,
46,2,2.0,CONDO,43.64671,-79.40176,998800,
47,2,2.0,CONDO,43.655704,-79.376495,919999,
48,3,3.0,CONDO,43.644737,-79.37184,1900000,
49,1,1.0,CONDO,43.769478,-79.283455,395900,
50,2,2.0,CONDO,43.635864,-79.46739,1150000,
51,1,2.0,CONDO,43.639343,-79.39297,744000,
52,1,2.0,CONDO,43.675602,-79.39788,818990,
53,1,2.0,CONDO,43.6439,-79.39948,749000,
54,2,2.0,CONDO,43.790024,-79.25466,599000,
55,1,1.0,CONDO,43.780315,-79.341995,559000,
56,1,2.0,CONDO,43.664803,-79.38696,719990,
57,2,3.0,CONDO,43.806667,-79.33489,899000,
58,2,4.0,SINGLE_FAMILY,43.668064,-79.56183,1299000,
59,2,6.0,SINGLE_FAMILY,43.72208,-79.57129,999000,
60,4,3.0,SINGLE_FAMILY,43.70748,-79.461754,1288800,
61,2,5.0,SINGLE_FAMILY,43.761753,-79.52316,959000,
62,2,4.0,SINGLE_FAMILY,43.75972,-79.50086,1249000,
63,2,6.0,SINGLE_FAMILY,43.708633,-79.29939,699999,
64,5,6.0,SINGLE_FAMILY,43.824265,-79.227905,1399999,
65,3,3.0,SINGLE_FAMILY,43.771606,-79.30251,959000,
66,4,4.0,SINGLE_FAMILY,43.787758,-79.34526,1475000,
67,2,3.0,SINGLE_FAMILY,43.685905,-79.2858,949900,
68,3,4.0,SINGLE_FAMILY,43.794254,-79.14535,999000,
69,2,3.0,SINGLE_FAMILY,43.687584,-79.438065,1088000,
70,2,6.0,SINGLE_FAMILY,43.70866,-79.29937,699999,
71,4,5.0,SINGLE_FAMILY,43.78164,-79.406,1588000,
72,4,5.0,SINGLE_FAMILY,43.76504,-79.45697,1349000,
73,3,3.0,SINGLE_FAMILY,43.7972,-79.39912,1987000,
74,4,5.0,SINGLE_FAMILY,43.79244,-79.142525,1099000,
75,2,4.0,SINGLE_FAMILY,43.692654,-79.33829,1340000,
76,2,3.0,CONDO,43.822945,-79.27499,697900,
77,2,2.0,CONDO,43.645523,-79.39057,775000,
78,2,2.0,CONDO,43.7563,-79.40839,727000,
79,2,4.0,SINGLE_FAMILY,43.741825,-79.23443,949898,4532.064
80,2,3.0,CONDO,43.775063,-79.34579,893000,
81,2,2.0,CONDO,43.64242,-79.37558,799000,
82,2,3.0,CONDO,43.719173,-79.326385,669900,
83,7,8.0,SINGLE_FAMILY,43.73556,-79.2767,1999000,7532.9998
84,1,1.0,CONDO,43.640427,-79.42465,488800,
85,2,3.0,CONDO,43.673553,-79.46187,815000,
86,1,1.0,CONDO,43.75108,-79.46573,529000,
87,2,2.0,CONDO,43.63486,-79.5395,579000,
88,2,2.0,CONDO,43.735962,-79.48376,599999,
89,1,2.0,CONDO,43.660072,-79.51641,719000,
90,2,4.0,CONDO,43.656265,-79.570786,699000,
91,1,1.0,CONDO,43.732384,-79.44663,439000,
92,1,2.0,CONDO,43.788853,-79.41838,619000,
93,1,1.0,CONDO,43.669605,-79.3917,880000,
94,2,1.0,CONDO,43.770374,-79.26186,598900,
95,1,1.0,CONDO,43.638832,-79.398834,615000,
96,3,3.0,TOWNHOUSE,43.652016,-79.45152,1399900,
97,1,2.0,CONDO,43.67265,-79.38873,670000,
98,2,3.0,CONDO,43.637897,-79.4154,870000,
99,2,2.0,TOWNHOUSE,43.666862,-79.38657,1200000,
100,1,1.0,CONDO,43.64653,-79.423256,674900,
101,1,2.0,CONDO,43.647526,-79.39966,768900,
102,3,2.0,CONDO,43.696514,-79.395454,925118,
103,2,2.0,CONDO,43.779655,-79.28293,658000,
104,2,3.0,CONDO,43.630337,-79.47273,1290000,
105,2,2.0,CONDO,43.64202,-79.37335,938000,
106,3,3.0,TOWNHOUSE,43.64818,-79.41984,899000,
107,1,1.0,CONDO,43.635864,-79.46739,575000,
108,1,2.0,CONDO,43.66138,-79.35923,599900,
109,2,2.0,CONDO,43.64174,-79.42332,599999,
110,2,3.0,SINGLE_FAMILY,43.673717,-79.32208,935000,
111,5,8.0,SINGLE_FAMILY,43.81336,-79.20003,1499000,
112,4,3.0,SINGLE_FAMILY,43.643085,-79.41495,1550000,
113,2,4.0,SINGLE_FAMILY,43.72227,-79.4039,2449000,
114,3,4.0,SINGLE_FAMILY,43.66915,-79.41617,1198000,
115,1,3.0,SINGLE_FAMILY,43.741184,-79.40251,3995000,
116,2,4.0,SINGLE_FAMILY,43.62921,-79.49239,1499900,
117,3,4.0,TOWNHOUSE,43.73598,-79.47654,929888,
118,2,3.0,SINGLE_FAMILY,43.782696,-79.33341,1288000,
119,1,1.0,CONDO,43.723602,-79.44601,459900,
120,1,2.0,CONDO,43.757656,-79.40901,599999,
121,1,1.0,CONDO,43.706955,-79.39502,648000,
122,2,2.0,CONDO,43.654835,-79.3752,830000,
123,1,2.0,CONDO,43.636158,-79.47062,649000,
124,2,2.0,CONDO,43.77858,-79.28117,628000,
125,2,4.0,SINGLE_FAMILY,43.685810000000004,-79.43385,1349000,1850.0
126,2,2.0,CONDO,43.64818,-79.487434,789000,
127,1,2.0,CONDO,43.717293,-79.44185,619900,
128,2,3.0,CONDO,43.633453,-79.541626,869000,
129,2,2.0,CONDO,43.78053,-79.341385,579000,
130,4,4.0,SINGLE_FAMILY,43.82231,-79.265465,1399000,5570.072
131,2,3.0,CONDO,43.799667,-79.31624,664900,
132,3,3.0,CONDO,43.674007,-79.41243,1800000,
133,4,5.0,SINGLE_FAMILY,43.694363,-79.27001,1949900,3900.0
134,1,1.0,CONDO,43.715252,-79.45464,549900,
135,1,1.0,CONDO,43.663635,-79.46686,549900,
136,2,4.0,CONDO,43.727715,-79.48259,620000,
137,2,2.0,CONDO,43.65801,-79.50318,788000,
138,2,3.0,CONDO,43.721195,-79.54413,479900,
139,1,1.0,CONDO,43.736553,-79.483246,499999,
140,1,1.0,CONDO,43.64818,-79.487434,699000,
141,2,2.0,CONDO,43.639263,-79.55962,689000,
142,1,2.0,CONDO,43.673553,-79.46187,559900,
143,1,1.0,CONDO,43.623516,-79.47929,645000,
144,3,2.0,TOWNHOUSE,43.59479,-79.53446,895000,
145,1,2.0,CONDO,43.645073,-79.39087,579900,
146,4,4.0,TOWNHOUSE,43.785473,-79.20589,699999,
147,2,2.0,CONDO,43.764503,-79.288475,599900,
148,1,1.0,CONDO,43.65398,-79.38852,649800,
149,1,2.0,CONDO,43.712036,-79.376755,575000,
150,2,3.0,CONDO,43.718346,-79.375206,1450000,
151,1,1.0,CONDO,43.6595,-79.38478,749000,
152,3,3.0,TOWNHOUSE,43.76485,-79.39425,1328000,
153,1,1.0,CONDO,43.651527,-79.375755,579000,
154,1,1.0,CONDO,43.652763,-79.36657,619000,
155,3,2.0,CONDO,43.696514,-79.395454,799000,
156,3,3.0,CONDO,43.71259,-79.37768,999999,
157,1,1.0,CONDO,43.65222,-79.37087,610000,
158,2,3.0,CONDO,43.65191,-79.37709,999999,
159,2,2.0,CONDO,43.704517,-79.251755,599900,
160,1,1.0,CONDO,43.657516,-79.37677,489000,
161,2,3.0,CONDO,43.641933,-79.381546,929900,
162,2,2.0,CONDO,43.7815,-79.413055,718000,
163,1,1.0,CONDO,43.650116,-79.35793,599000,
164,1,0.0,CONDO,43.668797,-79.38397,499000,
165,0,,CONDO,43.64896,-79.39258,90000,
166,1,1.0,CONDO,43.63837,-79.3987,618000,
167,1,2.0,CONDO,43.654842,-79.38468,745000,
168,2,2.0,CONDO,43.66285,-79.37627,1189000,
169,2,2.0,CONDO,43.654835,-79.3752,699000,
170,2,3.0,CONDO,43.75025,-79.40723,1049000,
171,2,2.0,CONDO,43.810165,-79.22112,539900,
172,3,5.0,SINGLE_FAMILY,43.794403,-79.37282,799000,
173,4,6.0,SINGLE_FAMILY,43.798244,-79.3004,1288000,
174,6,5.0,SINGLE_FAMILY,43.65046,-79.50192,4250000,
175,2,3.0,SINGLE_FAMILY,43.775063,-79.4033,1799900,
176,3,4.0,SINGLE_FAMILY,43.749233,-79.19261,1079000,
177,2,4.0,SINGLE_FAMILY,43.736492,-79.20817,1199000,
178,4,5.0,SINGLE_FAMILY,43.702545,-79.39139,3988800,
179,2,3.0,SINGLE_FAMILY,43.66868,-79.548874,1799000,
180,3,4.0,TOWNHOUSE,43.664806,-79.371254,1697800,
181,4,5.0,SINGLE_FAMILY,43.73978,-79.38892,5995000,
182,5,4.0,SINGLE_FAMILY,43.69722,-79.3166,2148000,
183,8,6.0,SINGLE_FAMILY,43.61597,-79.50393,3479000,
184,3,7.0,SINGLE_FAMILY,43.726820000000004,-79.23483,1199900,
185,5,7.0,SINGLE_FAMILY,43.736042,-79.22376,2699990,
186,2,2.0,CONDO,43.781647,-79.24493,499000,
187,2,2.0,CONDO,43.679985,-79.2904,799000,
188,1,2.0,CONDO,43.66295,-79.38631,718000,
189,1,1.0,CONDO,43.638798,-79.415504,599000,
190,1,2.0,CONDO,43.650475,-79.368515,729000,
191,1,3.0,CONDO,43.648884,-79.36522,684900,
192,9,9.0,MULTI_FAMILY,43.67192,-79.404366,2795000,3402.0
193,1,2.0,CONDO,43.6427,-79.393364,726000,
194,4,9.0,SINGLE_FAMILY,43.668472,-79.40424,2695000,3987.1
195,2,2.0,CONDO,43.776382,-79.415764,1149000,
196,3,3.0,TOWNHOUSE,43.650455,-79.56664,849000,
197,3,3.0,SINGLE_FAMILY,43.714893000000004,-79.39229,2666000,2172.17
198,4,6.0,SINGLE_FAMILY,43.78778,-79.454834,1895000,6776.0
199,2,2.0,CONDO,43.80687,-79.265305,599000,
200,1,1.0,CONDO,43.623604,-79.48415,559999,
201,2,3.0,CONDO,43.764465,-79.40913,1598000,
202,2,2.0,CONDO,43.777256,-79.28412,660000,
203,2,3.0,CONDO,43.609207,-79.558334,749900,
204,4,3.0,TOWNHOUSE,43.6595,-79.38478,3299000,
205,3,3.0,SINGLE_FAMILY,43.67612,-79.32306,1628000,1900.05
206,4,5.0,SINGLE_FAMILY,43.73321,-79.42474,2790000,3836.3541
207,1,2.0,CONDO,43.640682,-79.377,849000,
208,2,2.0,CONDO,43.767216,-79.38171,648800,
209,2,2.0,CONDO,43.67174,-79.3878,869900,
210,2,6.0,SINGLE_FAMILY,43.671318,-79.33633,1099900,1037.5
211,1,1.0,CONDO,43.72315,-79.44823,525000,
212,2,2.0,CONDO,43.687042,-79.27247,744999,
213,1,2.0,CONDO,43.623886,-79.479225,659990,
214,4,3.0,SINGLE_FAMILY,43.81777,-79.2142,999900,
215,5,6.0,SINGLE_FAMILY,43.62801,-79.50854,2449000,
216,5,6.0,SINGLE_FAMILY,43.688602,-79.26828,2089000,
217,2,3.0,TOWNHOUSE,43.64105,-79.57982,899900,
218,2,2.0,CONDO,43.781147,-79.2455,648000,
219,1,1.0,CONDO,43.76482,-79.410446,598000,
220,1,1.0,CONDO,43.637184,-79.39616,668000,
221,2,2.0,CONDO,43.758633,-79.587585,591000,
222,1,1.0,CONDO,43.668797,-79.38397,599900,
223,2,2.0,CONDO,43.7734,-79.25586,699000,
224,2,2.0,CONDO,43.641354,-79.562775,829000,
225,1,1.0,CONDO,43.785404,-79.41623,650000,
226,3,4.0,SINGLE_FAMILY,43.650475,-79.410805,1638000,929.4
227,5,5.0,SINGLE_FAMILY,43.691486,-79.436134,2262150,3643.75
228,1,2.0,CONDO,43.62495,-79.47824,654900,
229,1,1.0,CONDO,43.644672,-79.5294,549000,
230,1,2.0,CONDO,43.695786,-79.553154,429900,
231,1,1.0,CONDO,43.752064,-79.464264,519000,
232,1,1.0,CONDO,43.626324,-79.477234,610000,
233,2,2.0,CONDO,43.646324,-79.52136,928000,
234,2,3.0,CONDO,43.660976,-79.51245,979900,
235,1,2.0,CONDO,43.670486,-79.384575,624900,
236,2,2.0,CONDO,43.696835,-79.39399,959900,
237,3,3.0,CONDO,43.73306,-79.34621,1199999,
238,1,2.0,CONDO,43.790318,-79.35738,649000,
239,2,2.0,CONDO,43.671093,-79.38777,1200000,
240,2,3.0,CONDO,43.64971,-79.3613,1025000,
241,2,2.0,CONDO,43.730564,-79.4321,419900,
242,2,2.0,CONDO,43.77626,-79.366165,750000,
243,2,2.0,CONDO,43.63848,-79.42747,799000,
244,2,2.0,CONDO,43.64768,-79.39692,820000,
245,2,2.0,CONDO,43.77366,-79.249855,499900,
246,2,3.0,CONDO,43.708767,-79.3938,1098000,
247,3,2.0,CONDO,43.671818,-79.372406,1455000,
248,2,1.0,CONDO,43.78053,-79.341385,638000,
249,2,2.0,CONDO,43.72016,-79.33666,649000,
250,1,1.0,CONDO,43.67654,-79.40561,655000,
251,1,2.0,CONDO,43.645958,-79.38987,616000,
252,1,1.0,CONDO,43.638138,-79.420845,639900,
253,3,2.0,TOWNHOUSE,43.765724,-79.38346,1295000,
254,1,2.0,CONDO,43.72208,-79.543945,439900,
255,3,2.0,CONDO,43.649273,-79.37469,2149000,
256,2,2.0,CONDO,43.60133,-79.54553,629900,
257,2,2.0,CONDO,43.687916,-79.39619,888000,
258,2,2.0,CONDO,43.647194,-79.397865,1450000,
259,1,2.0,CONDO,43.641933,-79.381546,749000,
260,0,,MULTI_FAMILY,43.67858,-79.30083,7000000,
261,3,4.0,SINGLE_FAMILY,43.790066,-79.34076,1099000,
262,10,2.0,SINGLE_FAMILY,43.66711,-79.38487,8495000,
263,5,5.0,SINGLE_FAMILY,43.727406,-79.4128,3850000,
264,3,4.0,SINGLE_FAMILY,43.75685,-79.594345,1149000,
265,3,5.0,SINGLE_FAMILY,43.74417,-79.22623,949000,
266,4,6.0,SINGLE_FAMILY,43.798615,-79.29027,899000,
267,2,3.0,SINGLE_FAMILY,43.73639,-79.510216,975000,
268,2,3.0,SINGLE_FAMILY,43.70852,-79.385666,1735000,
269,9,6.0,SINGLE_FAMILY,43.73962,-79.369,7995000,
270,4,4.0,SINGLE_FAMILY,43.747017,-79.211266,998000,
271,2,4.0,SINGLE_FAMILY,43.689594,-79.27141,849000,
272,2,3.0,SINGLE_FAMILY,43.650654,-79.53805,1599900,
273,3,5.0,SINGLE_FAMILY,43.68958,-79.43475,1150000,
274,2,3.0,SINGLE_FAMILY,43.720566,-79.52908,1295000,
275,3,5.0,SINGLE_FAMILY,43.774937,-79.38526,2688888,
276,4,8.0,MULTI_FAMILY,43.67858,-79.30083,3500000,
277,4,8.0,MULTI_FAMILY,43.678528,-79.30098,3500000,
278,6,6.0,SINGLE_FAMILY,43.678276,-79.38134,9995000,
279,3,2.0,SINGLE_FAMILY,43.678276,-79.38134,2500000,
280,3,6.0,SINGLE_FAMILY,43.757187,-79.17449,1099000,7241.5
281,2,2.0,CONDO,43.62474,-79.478966,725000,
282,2,1.0,CONDO,43.68665,-79.39951,899000,
283,2,4.0,CONDO,43.729725,-79.441956,599900,
284,1,2.0,CONDO,43.64265,-79.37733,669000,
285,6,5.0,SINGLE_FAMILY,43.6465,-79.50899,2600000,4000.0
286,1,1.0,CONDO,43.652508,-79.38858,639000,
287,2,2.0,CONDO,43.645523,-79.39057,675000,
288,2,2.0,CONDO,43.62386,-79.488945,749000,
289,3,3.0,CONDO,43.640064,-79.378494,2750000,
290,1,2.0,CONDO,43.622257,-79.48256,548000,
291,1,2.0,CONDO,43.669888,-79.39098,1398000,
292,1,2.0,CONDO,43.666687,-79.37489,574900,
293,2,2.0,CONDO,43.62474,-79.478966,678800,
294,2,4.0,CONDO,43.655693,-79.57109,699500,
295,1,1.0,CONDO,43.66503,-79.447586,499999,
296,1,1.0,CONDO,43.72241,-79.43166,510000,
297,1,2.0,CONDO,43.664238,-79.37554,619000,
298,1,2.0,TOWNHOUSE,43.639755,-79.41307,699000,
299,2,2.0,CONDO,43.680843,-79.28265,835000,
300,1,2.0,CONDO,43.649345,-79.3758,689800,
301,1,2.0,CONDO,43.657475,-79.44567,675000,
302,2,3.0,CONDO,43.656265,-79.570786,685000,
303,2,2.0,CONDO,43.722935,-79.41387,1144800,
304,1,2.0,CONDO,43.733913,-79.44845,609000,
305,1,1.0,CONDO,43.63531,-79.402084,710000,
306,1,1.0,CONDO,43.658474,-79.3511,675000,
307,1,1.0,CONDO,43.653343,-79.37937,719990,
308,1,3.0,CONDO,43.737667,-79.26957,499900,
